time_stamp,shop_id,pay_num,cate_2_name
2016-01-01,14,33,¿ì²Í
2016-01-02,14,35,¿ì²Í
2016-01-03,14,20,¿ì²Í
2016-01-04,14,53,¿ì²Í
2016-01-05,14,54,¿ì²Í
2016-01-06,14,53,¿ì²Í
2016-01-07,14,66,¿ì²Í
2016-01-08,14,47,¿ì²Í
2016-01-09,14,63,¿ì²Í
2016-01-10,14,40,¿ì²Í
2016-01-11,14,52,¿ì²Í
2016-01-12,14,52,¿ì²Í
2016-01-13,14,59,¿ì²Í
2016-01-14,14,59,¿ì²Í
2016-01-15,14,51,¿ì²Í
2016-01-16,14,48,¿ì²Í
2016-01-17,14,43,¿ì²Í
2016-01-18,14,56,¿ì²Í
2016-01-19,14,58,¿ì²Í
2016-01-20,14,45,¿ì²Í
2016-01-21,14,50,¿ì²Í
2016-01-22,14,44,¿ì²Í
2016-01-23,14,41,¿ì²Í
2016-01-24,14,43,¿ì²Í
2016-01-25,14,57,¿ì²Í
2016-01-26,14,60,¿ì²Í
2016-01-27,14,50,¿ì²Í
2016-01-28,14,61,¿ì²Í
2016-01-29,14,59,¿ì²Í
2016-01-30,14,48,¿ì²Í
2016-01-31,14,44,¿ì²Í
2016-02-01,14,54,¿ì²Í
2016-02-02,14,58,¿ì²Í
2016-02-03,14,75,¿ì²Í
2016-02-04,14,40,¿ì²Í
2016-02-05,14,50,¿ì²Í
2016-02-06,14,39,¿ì²Í
2016-02-07,14,12,¿ì²Í
2016-02-08,14,9,¿ì²Í
2016-02-09,14,9,¿ì²Í
2016-02-10,14,15,¿ì²Í
2016-02-11,14,25,¿ì²Í
2016-02-12,14,21,¿ì²Í
2016-02-13,14,37,¿ì²Í
2016-02-14,14,38,¿ì²Í
2016-02-15,14,42,¿ì²Í
2016-02-16,14,53,¿ì²Í
2016-02-17,14,37,¿ì²Í
2016-02-18,14,53,¿ì²Í
2016-02-19,14,46,¿ì²Í
2016-02-20,14,49,¿ì²Í
2016-02-21,14,46,¿ì²Í
2016-02-22,14,39,¿ì²Í
2016-02-23,14,42,¿ì²Í
